day,energy_sum
2013-07-09,41787.024996500004
2013-07-10,41692.4090008
2013-07-11,41310.23
2013-07-12,41510.4330024
2013-07-13,42184.634002800005
2013-07-14,44223.8579994
2013-07-15,42817.2879991
2013-07-16,42604.4040011
2013-07-17,42858.959001100004
2013-07-18,42464.6520019
2013-07-19,41817.8080006
2013-07-20,42544.009997
2013-07-21,43476.161998100004
2013-07-22,43396.918994600004
2013-07-23,43609.2619992
2013-07-24,41762.479998
2013-07-25,42269.8669966
2013-07-26,41272.6160034
2013-07-27,42765.6410025
2013-07-28,43384.0840028
2013-07-29,41870.4980022
2013-07-30,42351.0319964
2013-07-31,42139.0560031
2013-08-01,41868.8689983
2013-08-02,42222.8820014
2013-08-03,40935.212997200004
2013-08-04,42674.8480012
2013-08-05,42316.6739943
2013-08-06,40768.5489994
2013-08-07,40310.1559985
2013-08-08,40482.323001900004
2013-08-09,40622.9730012
2013-08-10,40681.170001800005
2013-08-11,42357.6160018
2013-08-12,41075.6940022
2013-08-13,40824.0860034
2013-08-14,40704.0489976
2013-08-15,41179.7599972
2013-08-16,41462.1129986
2013-08-17,42201.6129994
2013-08-18,43163.697004
2013-08-19,41085.0399987
2013-08-20,40333.4869972
2013-08-21,40445.9019979
2013-08-22,42334.7480017
2013-08-23,41079.6679953
2013-08-24,43389.0989942
2013-08-25,42626.035002900004
2013-08-26,42010.8499986
2013-08-27,41429.7189988
2013-08-28,41020.245001200004
2013-08-29,40691.383998000005
2013-08-30,41254.7219997
2013-08-31,41602.5709993
2013-09-01,44193.8689936
2013-09-02,42140.8519986
2013-09-03,42119.3969985
2013-09-04,42150.3659963
2013-09-05,42356.7659989
2013-09-06,43524.0459996
2013-09-07,43597.7489958
2013-09-08,46375.7689985
2013-09-09,46098.1719993
2013-09-10,45710.3169988
2013-09-11,46326.0059972
2013-09-12,44858.8449989
2013-09-13,46239.5889961
2013-09-14,48662.113000900004
2013-09-15,51764.037997700005
2013-09-16,46848.960999
2013-09-17,48356.3890017
2013-09-18,46463.7360012
2013-09-19,47636.1579948
2013-09-20,45972.8519972
2013-09-21,47219.2820001
2013-09-22,49646.826998100005
2013-09-23,46023.780994
2013-09-24,44462.8860029
2013-09-25,44673.7819967
2013-09-26,44338.3369967
2013-09-27,44472.9959994
2013-09-28,46951.956001800005
2013-09-29,49271.8100015
2013-09-30,46156.7279929
2013-10-01,46467.6999945
2013-10-02,46532.0869969
2013-10-03,46260.500998200005
2013-10-04,45333.3180008
2013-10-05,47665.2529932
2013-10-06,48815.6829929
2013-10-07,46587.564993500004
2013-10-08,45642.4619984
2013-10-09,46528.1420045
2013-10-10,48399.365994600004
2013-10-11,51432.2640017
2013-10-12,49981.2999966
2013-10-13,57096.8429915
2013-10-14,52210.6149993
2013-10-15,50149.861000100005
2013-10-16,51850.2390015
2013-10-17,49202.0200018
2013-10-18,48645.0380008
2013-10-19,50000.5289994
2013-10-20,52810.9950033
2013-10-21,49210.2499989
2013-10-22,48383.3929996
2013-10-23,47668.0809993
2013-10-24,47803.6019952
2013-10-25,47690.479997200004
2013-10-26,49944.5719998
2013-10-27,52809.4089975
2013-10-28,51343.9640055
2013-10-29,51495.4489974
2013-10-30,51565.5379972
2013-10-31,51755.8469997
2013-11-01,50984.8669965
2013-11-02,51814.2470025
2013-11-03,57352.4559956
2013-11-04,53570.7540037
2013-11-05,55565.3950008
2013-11-06,54372.9959989
2013-11-07,52478.9319963
2013-11-08,54583.0729956
2013-11-09,58648.9969986
2013-11-10,59941.6370036
2013-11-11,57109.0319992
2013-11-12,53938.0300021
2013-11-13,55332.7299913
2013-11-14,55190.8940064
2013-11-15,55935.8089939
2013-11-16,58534.834993000004
2013-11-17,61546.783997
2013-11-18,57231.4169989
2013-11-19,57394.553994400005
2013-11-20,61145.562999
2013-11-21,60056.1880066
2013-11-22,59391.5020041
2013-11-23,60714.5909991
2013-11-24,63850.871006500005
2013-11-25,59434.0289997
2013-11-26,58795.5119999
2013-11-27,57991.2119972
2013-11-28,56715.4290047
2013-11-29,56413.782993600005
2013-11-30,59138.123997200004
2013-12-01,62882.797999200004
2013-12-02,57622.5689946
2013-12-03,58496.7819917
2013-12-04,58200.034995
2013-12-05,60576.4359997
2013-12-06,59418.4969978
2013-12-07,61052.220995
2013-12-08,61864.452009500004
2013-12-09,57465.231998
2013-12-10,58189.2910039
2013-12-11,59826.4030003
2013-12-12,59475.3019981
2013-12-13,58225.148996100004
2013-12-14,59997.778994
2013-12-15,62636.063996100005
2013-12-16,57067.842003000005
2013-12-17,58089.9820005
2013-12-18,57742.6080036
2013-12-19,58491.814004500004
2013-12-20,58721.900993100004
2013-12-21,61953.629004
2013-12-22,60987.875000600005
2013-12-23,61532.628998500004
2013-12-24,61178.4150001
2013-12-25,64006.1479912
2013-12-26,59479.846002900005
2013-12-27,59522.7379964
2013-12-28,58067.1689999
2013-12-29,61101.243995000004
2013-12-30,60284.8539984
2013-12-31,60749.0640059
2014-01-01,62730.8880019
2014-01-02,57250.2939977
2014-01-03,58605.6240005
2014-01-04,61162.9959947
2014-01-05,64330.109001000004
2014-01-06,58194.8419974
2014-01-07,57479.2599903
2014-01-08,56131.369998400005
2014-01-09,56509.663004400005
2014-01-10,57157.208998
2014-01-11,58618.0080082
2014-01-12,64820.1299977
2014-01-13,57754.6619965
2014-01-14,57586.0319887
2014-01-15,56830.2200003
2014-01-16,55616.612011000005
2014-01-17,56551.3629982
2014-01-18,58633.483996200004
2014-01-19,53910.9060006
2014-01-20,57874.559995
2014-01-21,57671.690004100004
2014-01-22,56392.1270009
2014-01-23,57338.300004900004
2014-01-24,57825.2729999
2014-01-25,58894.104003600005
2014-01-26,64526.6399964
2014-01-27,59568.6180055
2014-01-28,57450.0910067
2014-01-29,59770.9330015
2014-01-30,59162.0099981
2014-01-31,60013.1199968
2014-02-01,59243.8339966
2014-02-02,60994.7299962
2014-02-03,56975.3379998
2014-02-04,56043.7969914
2014-02-05,57543.541998400004
2014-02-06,57719.169005100004
2014-02-07,55300.4840033
2014-02-08,58297.7049988
2014-02-09,61441.9410144
2014-02-10,56715.1219991
2014-02-11,57641.183997500004
2014-02-12,58757.5489905
2014-02-13,56755.97
2014-02-14,59450.896004400005
2014-02-15,57670.6669987
2014-02-16,58119.2739963
2014-02-17,55073.5029968
2014-02-18,54006.5269896
2014-02-19,53458.515000600004
2014-02-20,52932.619996400004
2014-02-21,52632.704997
2014-02-22,53945.8680008
2014-02-23,57379.092994800005
2014-02-24,51994.5470041
2014-02-25,51423.508001400005
2014-02-26,50943.3059946
2014-02-27,51678.1859978
2014-02-28,1042.2659999
